id,fen,name,moves,ECO,parent,child,white,draws,black,bullet_avg,blitz_avg,rapid_avg,classical_avg,0_white,0_draws,0_black,1000_white,1000_draws,1000_black,1200_white,1200_draws,1200_black,1400_white,1400_draws,1400_black,1600_white,1600_draws,1600_black,1800_white,1800_draws,1800_black,2000_white,2000_draws,2000_black,2200_white,2200_draws,2200_black,2500_white,2500_draws,2500_black,bullet_white,bullet_draws,bullet_black,blitz_white,blitz_draws,blitz_black,rapid_white,rapid_draws,rapid_black,classical_white,classical_draws,classical_black
797,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/5P2/PPPP2PP/RNBQK1NR b KQkq - 0 3,Bishop's Opening: Walkerling,1.e4 e5 2.Bc4 Nf6 3.f3,C24,,[],80472,7216,108909,1371.1,1317.6,1256.4,1307.7,40471,4865,50909,45512,4721,59934,46878,4305,63317,35534,3208,50611,23295,1982,31038,15387,1367,19036,5530,555,7133,705,102,1059,21,2,32,24732,1348,30382,53816,4516,68258,24336,2435,36217,2320,265,4434
798,rnbqkb1r/pppp1ppp/5n2/4p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq - 0 3,"Bishop's Opening: Berlin Defense, Greco Gambit",1.e4 e5 2.Bc4 Nf6 3.f4,C24,,[],94847,5889,94771,1504.2,1515.8,1471.0,1462.4,9701,821,10465,13236,814,13488,24834,1291,22958,35780,1940,33289,35892,2134,35069,18087,1302,20139,4467,419,5465,608,91,787,13,3,22,34355,1602,33063,70442,4315,69647,23061,1461,23653,1344,113,1471
799,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/3P4/PPP2PPP/RNBQK1NR b KQkq - 0 3,"Bishop's Opening: Calabrese Countergambit, Jaenisch Variation",1.e4 e5 2.Bc4 f5 3.d3,C23,,[],63764,4152,57714,1659.3,1648.2,1568.3,1527.0,2016,121,1499,5261,283,3922,11023,546,8394,17809,919,14797,20972,1267,19269,16867,1234,16216,7011,592,6435,1092,131,972,13,9,25,27480,1331,26947,51686,3399,47559,11440,705,9668,638,48,487
806,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,Vienna Game: Fyfe Gambit,1.e4 e5 2.Nc3 Nc6 3.d4,C25,,[],35502,3258,44592,1600.4,1316.5,1156.7,1245.7,24883,3162,32547,19752,2193,26433,16130,1632,22281,14271,1290,19887,10512,947,12710,6515,592,7471,3324,325,3579,850,93,905,30,11,40,115271,7610,110720,30179,2712,36118,4876,488,7545,447,58,929
810,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/P1N5/1PPP1PPP/R1BQKBNR b KQkq - 0 3,Vienna Game: Mengarini Variation,1.e4 e5 2.Nc3 Nf6 3.a3,C26,,[],238376,20737,234972,1517.8,1468.7,1487.5,1511.6,14218,1190,13247,41637,3330,39036,81387,6254,75555,107727,8650,101673,85956,7600,85453,33092,3074,35950,9423,1031,9834,1960,326,1861,218,56,201,33559,1956,30373,123123,10287,118454,100314,8935,101612,14939,1515,14906
820,r1bqkbnr/pppp1ppp/2n5/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,Irish Gambit,1.e4 e5 2.Nf3 Nc6 3.Nxe5,C44,,[1578],49167,4152,86194,1346.7,1317.3,1217.4,1343.3,33126,5515,68831,28134,3692,61801,23329,2780,54105,16809,1670,40523,13024,960,21610,12641,926,15474,5747,489,7110,932,105,1461,14,2,16,55427,3140,64980,37976,2943,57721,10155,1077,24746,1036,132,3727
832,rnb1kbnr/ppppqppp/8/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,"Open Game: Gunderam Defence, 3.Nc3",1.e4 e5 2.Nf3 Qe7 3.Nc3,C40,,[],164517,12683,135482,1521.8,1376.7,1228.7,1269.8,59983,4845,39416,71540,5036,48788,76114,5086,52291,67074,4566,50111,42447,3015,33722,26131,2090,23756,16973,1793,16959,11405,1157,10522,487,62,412,63021,3322,66593,103924,8168,93455,53232,4018,37767,7361,497,4260
834,rnbqkbnr/pp1p1ppp/8/2p1N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,Sicilian Defense: Jalalabad Variation,1.e4 e5 2.Nf3 c5 3.Nxe5,B27,,[],89099,5317,50511,1369.0,1273.7,1213.2,1239.0,40624,3386,25251,45131,2969,28460,46089,2648,27357,38390,2091,21612,25504,1447,14730,17169,1152,9949,6515,492,3389,1436,128,780,85,7,51,19804,1002,14360,54408,3284,32747,29941,1824,15907,4750,209,1857
835,rnbqkbnr/pp1p1ppp/2p5/4N3/4P3/8/PPPP1PPP/RNBQKB1R b KQkq - 0 3,Gunderam Gambit,1.e4 e5 2.Nf3 c6 3.Nxe5,C40,,[1605],110345,6869,75011,1343.2,1283.1,1228.9,1278.4,47443,3930,34190,55445,3914,38238,56754,3508,37538,46808,2690,30894,31460,1879,21324,21039,1352,14861,9134,735,6702,1796,184,1140,108,29,90,27025,1326,20868,68561,4254,48756,36698,2314,23633,5086,301,2622
841,rnbqkbnr/pppp2pp/8/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,Latvian Gambit: Mayet Attack,1.e4 e5 2.Nf3 f5 3.Bc4,C40,,[],167559,9078,151497,1625.2,1614.5,1508.6,1492.1,10269,726,7931,18815,946,14159,32337,1481,24919,46505,2110,38299,54068,2713,47646,45196,2608,43131,19094,1416,19482,2650,228,2898,46,3,41,169588,7297,175912,141167,7671,129752,24697,1321,20469,1695,86,1276
847,rnbqkbnr/pppp2pp/8/4pp2/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Latvian Gambit: Mason Countergambit,1.e4 e5 2.Nf3 f5 3.d4,C40,,[],163205,11719,149651,1786.3,1772.7,1610.6,1577.2,6527,509,5229,10781,629,8442,16610,846,13289,26569,1355,21329,38556,2257,34249,49330,3376,46111,36903,3262,35907,11429,1398,11605,418,71,450,170675,8804,172125,141295,10227,131451,20479,1390,17139,1431,102,1061
856,rnbqkbnr/pppp1ppp/8/8/3pP3/3B4/PPP2PPP/RNBQK1NR b KQkq - 1 3,Center Game: Ross Gambit,1.e4 e5 2.d4 exd4 3.Bd3,C21,,[],90976,5696,85932,1674.0,1575.2,1479.0,1465.4,4259,428,4970,9761,678,10403,17587,1127,17623,28377,1738,27098,30630,1829,29099,24604,1609,22370,7002,470,6919,363,50,446,0,0,0,49913,1940,41022,74053,4538,68109,16260,1103,16901,663,55,922
861,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2P2/PPPP2PP/R1BQKBNR b KQkq - 2 3,King's Pawn Game: King's Head Opening,1.e4 e5 2.f3 Nf6 3.Nc3,C20,,[],64412,6522,97214,1431.7,1249.6,1192.5,1280.4,65299,8137,79367,52869,6013,72760,39630,4226,59918,27556,2853,47259,17575,1655,24909,12496,1192,16036,5605,596,7251,1126,211,1693,54,15,66,44763,2908,51048,46535,4462,63593,15972,1804,28918,1905,256,4703
862,rnbqk1nr/pppp1ppp/8/2b1p3/2B1PP2/8/PPPP2PP/RNBQK1NR b KQkq - 2 3,"KGD: Classical, 3.Bc4",1.e4 e5 2.f4 Bc5 3.Bc4,C30,,[],71981,4193,66322,1521.3,1592.4,1597.9,1534.9,2059,174,1940,4586,231,3881,11090,503,9366,22418,1123,19521,28706,1623,25431,16090,1026,15780,4162,362,4800,592,58,775,13,1,15,18897,707,17754,55163,3216,51012,16147,927,14637,671,50,673
865,rnbqk1nr/pppp1ppp/8/2b1P3/4P3/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,King's Gambit Declined: Classical Variation,1.e4 e5 2.f4 Bc5 3.fxe5,C30,,[],30117,1963,49130,1470.1,1474.2,1423.8,1420.8,3721,438,6103,5590,420,8392,8742,551,13231,12089,725,18805,11408,748,18339,5577,408,9860,974,69,1968,68,13,156,1,0,2,25456,1208,31295,24132,1574,37559,5649,356,10800,336,33,771
